x_0	f(x)
$flags auto[subscript]:8	auto[subscript]:8
3.21300276e-01	-4.64065873e-01
3.22276776e-01	-4.61341589e-01
3.23253276e-01	-4.58620724e-01
3.24229777e-01	-4.55903249e-01
3.25206277e-01	-4.53189138e-01
3.26182777e-01	-4.50478360e-01
3.27159277e-01	-4.47770889e-01
3.28135778e-01	-4.45066697e-01
3.29112278e-01	-4.42365755e-01
3.30088778e-01	-4.39668036e-01
3.31065279e-01	-4.36973513e-01
3.32041779e-01	-4.34282159e-01
3.33018279e-01	-4.31593947e-01
3.33994780e-01	-4.28908851e-01
3.34971280e-01	-4.26226843e-01
3.35947780e-01	-4.23547897e-01
3.36924281e-01	-4.20871988e-01
3.37900781e-01	-4.18199089e-01
3.38877281e-01	-4.15529175e-01
3.39853782e-01	-4.12862219e-01
3.40830282e-01	-4.10198197e-01
3.41806782e-01	-4.07537083e-01
3.42783283e-01	-4.04878851e-01
3.43759783e-01	-4.02223478e-01
3.44736283e-01	-3.99570937e-01
3.45712784e-01	-3.96921205e-01
3.46689284e-01	-3.94274257e-01
3.47665784e-01	-3.91630068e-01
3.48642285e-01	-3.88988615e-01
3.49618785e-01	-3.86349873e-01
3.50595285e-01	-3.83713818e-01
3.51571786e-01	-3.81080427e-01
3.52548286e-01	-3.78449676e-01
3.53524786e-01	-3.75821542e-01
3.54501287e-01	-3.73196001e-01
3.55477787e-01	-3.70573030e-01
3.56454287e-01	-3.67952606e-01
3.57430787e-01	-3.65334707e-01
3.58407288e-01	-3.62719308e-01
3.59383788e-01	-3.60106389e-01
3.60360288e-01	-3.57495925e-01
3.61336789e-01	-3.54887896e-01
3.62313289e-01	-3.52282278e-01
3.63289789e-01	-3.49679050e-01
3.64266290e-01	-3.47078189e-01
3.65242790e-01	-3.44479674e-01
3.66219290e-01	-3.41883483e-01
3.67195791e-01	-3.39289595e-01
3.68172291e-01	-3.36697987e-01
3.69148791e-01	-3.34108638e-01
3.70125292e-01	-3.31521528e-01
3.71101792e-01	-3.28936635e-01
3.72078292e-01	-3.26353937e-01
3.73054793e-01	-3.23773415e-01
3.74031293e-01	-3.21195047e-01
3.75007793e-01	-3.18618813e-01
3.75984294e-01	-3.16044691e-01
3.76960794e-01	-3.13472662e-01
3.77937294e-01	-3.10902705e-01
3.78913795e-01	-3.08334800e-01
3.79890295e-01	-3.05768926e-01
3.80866795e-01	-3.03205064e-01
3.81843296e-01	-3.00643194e-01
3.82819796e-01	-2.98083295e-01
3.83796296e-01	-2.95525348e-01
3.84772797e-01	-2.92969333e-01
3.85749297e-01	-2.90415231e-01
3.86725797e-01	-2.87863021e-01
3.87702298e-01	-2.85312686e-01
3.88678798e-01	-2.82764205e-01
3.89655298e-01	-2.80217559e-01
3.90631798e-01	-2.77672729e-01
3.91608299e-01	-2.75129696e-01
3.92584799e-01	-2.72588442e-01
3.93561299e-01	-2.70048946e-01
3.94537800e-01	-2.67511191e-01
3.95514300e-01	-2.64975157e-01
3.96490800e-01	-2.62440826e-01
3.97467301e-01	-2.59908180e-01
3.98443801e-01	-2.57377200e-01
3.99420301e-01	-2.54847868e-01
4.00396802e-01	-2.52320164e-01
4.01373302e-01	-2.49794072e-01
4.02349802e-01	-2.47269573e-01
4.03326303e-01	-2.44746649e-01
4.04302803e-01	-2.42225282e-01
4.05279303e-01	-2.39705454e-01
4.06255804e-01	-2.37187147e-01
4.07232304e-01	-2.34670343e-01
4.08208804e-01	-2.32155025e-01
4.09185305e-01	-2.29641174e-01
4.10161805e-01	-2.27128774e-01
4.11138305e-01	-2.24617807e-01
4.12114806e-01	-2.22108256e-01
4.13091306e-01	-2.19600102e-01
4.14067806e-01	-2.17093329e-01
4.15044307e-01	-2.14587919e-01
4.16020807e-01	-2.12083856e-01
4.16997307e-01	-2.09581122e-01
4.17973808e-01	-2.07079700e-01
4.18950308e-01	-2.04579573e-01
4.19926808e-01	-2.02080724e-01
