# ordering=colwise,  basis=BASIS_HAT_HIER, number points=1657, (max)level(s): (7,8), domain=[0,1] x [0,6.2831853]
# x_i : coordinates; (l_i,i_i): multiindex coords; scalaridx_i: linearized multiindex coords
x_0	x_1	f(x)	l_0	i_0	scalaridx_0	l_1	i_1	scalaridx_1	
0.046875	1.1780972	-0.00024159469	6	3	34	4	3	10	
0.046875	1.5707963	-0.0052574264	6	3	34	2	1	3	
0.046875	1.9634954	-0.00024159469	6	3	34	4	5	11	
0.046875	2.3561945	0.00037749023	6	3	34	3	3	6	
0.046875	2.7488936	0.00043008823	6	3	34	4	7	12	
0.046875	3.1415927	-4.0657581e-20	6	3	34	1	1	2	
0.046875	3.5342917	0.00043008823	6	3	34	4	9	13	
0.046875	3.9269908	0.00037749023	6	3	34	3	5	7	
0.046875	4.3196899	-0.00024159469	6	3	34	4	11	14	
0.046875	4.712389	-0.0052574264	6	3	34	2	3	4	
0.046875	5.1050881	-0.00024159469	6	3	34	4	13	15	
0.046875	5.4977871	0.00037749023	6	3	34	3	7	8	
0.046875	5.8904862	0.00043008823	6	3	34	4	15	16	
0.046875	6.2831853	-7.6293945e-06	6	3	34	0	1	1	

0.0546875	0	0	7	7	68	0	0	0	
0.0546875	1.5707963	-0.00059307297	7	7	68	2	1	3	
0.0546875	3.1415927	8.1315163e-20	7	7	68	1	1	2	
0.0546875	4.712389	-0.00059307297	7	7	68	2	3	4	
0.0546875	6.2831853	-1.6263033e-19	7	7	68	0	1	1	

0.0625	0	-0.00012207031	4	1	9	0	0	0	
0.0625	0.09817477	0.00087717764	4	1	9	6	1	33	
0.0625	0.19634954	0.0025851809	4	1	9	5	1	17	
0.0625	0.29452431	0.00063073795	4	1	9	6	3	34	
0.0625	0.39269908	0.0084629255	4	1	9	4	1	9	
0.0625	0.49087385	0.00055900876	4	1	9	6	5	35	
0.0625	0.58904862	0.0014492606	4	1	9	5	3	18	
0.0625	0.68722339	0.00026040197	4	1	9	6	7	36	
0.0625	0.78539816	4.1624012e-05	4	1	9	3	1	5	
0.0625	0.9817477	-0.00055008763	4	1	9	5	5	19	
0.0625	1.1780972	-0.008128947	4	1	9	4	3	10	
0.0625	1.276272	-0.00043853837	4	1	9	6	13	39	
0.0625	1.3744468	-0.0018199806	4	1	9	5	7	20	
0.0625	1.4726216	-0.00046136275	4	1	9	6	15	40	
0.0625	1.5707963	-0.077456547	4	1	9	2	1	3	
0.0625	1.6689711	-0.00046136275	4	1	9	6	17	41	
0.0625	1.7671459	-0.0018199806	4	1	9	5	9	21	
0.0625	1.8653206	-0.00043853837	4	1	9	6	19	42	
0.0625	1.9634954	-0.008128947	4	1	9	4	5	11	
0.0625	2.1598449	-0.00055008763	4	1	9	5	11	22	
0.0625	2.3561945	4.1624012e-05	4	1	9	3	3	6	
0.0625	2.4543693	0.00026040197	4	1	9	6	25	45	
0.0625	2.552544	0.0014492606	4	1	9	5	13	23	
0.0625	2.6507188	0.00055900876	4	1	9	6	27	46	
0.0625	2.7488936	0.0084629255	4	1	9	4	7	12	
0.0625	2.8470683	0.00063073795	4	1	9	6	29	47	
0.0625	2.9452431	0.0025851809	4	1	9	5	15	24	
0.0625	3.0434179	0.00087717764	4	1	9	6	31	48	
0.0625	3.1415927	-3.1767124e-17	4	1	9	1	1	2	
0.0625	3.2397674	0.00087717764	4	1	9	6	33	49	
0.0625	3.3379422	0.0025851809	4	1	9	5	17	25	
0.0625	3.436117	0.00063073795	4	1	9	6	35	50	
0.0625	3.5342917	0.0084629255	4	1	9	4	9	13	
0.0625	3.6324665	0.00055900876	4	1	9	6	37	51	
0.0625	3.7306413	0.0014492606	4	1	9	5	19	26	
0.0625	3.828816	0.00026040197	4	1	9	6	39	52	
0.0625	3.9269908	4.1624012e-05	4	1	9	3	5	7	
0.0625	4.1233404	-0.00055008763	4	1	9	5	21	27	
0.0625	4.3196899	-0.008128947	4	1	9	4	11	14	
0.0625	4.4178647	-0.00043853837	4	1	9	6	45	55	
0.0625	4.5160394	-0.0018199806	4	1	9	5	23	28	
0.0625	4.6142142	-0.00046136275	4	1	9	6	47	56	
0.0625	4.712389	-0.077456547	4	1	9	2	3	4	
0.0625	4.8105638	-0.00046136275	4	1	9	6	49	57	
0.0625	4.9087385	-0.0018199806	4	1	9	5	25	29	
0.0625	5.0069133	-0.00043853837	4	1	9	6	51	58	
0.0625	5.1050881	-0.008128947	4	1	9	4	13	15	
0.0625	5.3014376	-0.00055008763	4	1	9	5	27	30	
0.0625	5.4977871	4.1624012e-05	4	1	9	3	7	8	
0.0625	5.5959619	0.00026040197	4	1	9	6	57	61	
0.0625	5.6941367	0.0014492606	4	1	9	5	29	31	
