# ordering=colwise,  basis=BASIS_NODAL, number points=1089, (max)level(s): (5,5), domain=[0,1] x [0,6.2831853]
# x_i : coordinates; (l_i,i_i): multiindex coords; scalaridx_i: linearized multiindex coords
x_0	x_1	f(x)	l_0	i_0	scalaridx_0	l_1	i_1	scalaridx_1	
0.1875	0.58904862	0.070866163	4	3	10	5	3	18	
0.1875	0.78539816	0.11311732	4	3	10	3	1	5	
0.1875	0.9817477	0.15602676	4	3	10	5	5	19	
0.1875	1.1780972	0.19182916	4	3	10	4	3	10	
0.1875	1.3744468	0.21637478	4	3	10	5	7	20	
0.1875	1.5707963	0.22457287	4	3	10	2	1	3	
0.1875	1.7671459	0.21637478	4	3	10	5	9	21	
0.1875	1.9634954	0.19182916	4	3	10	4	5	11	
0.1875	2.1598449	0.15602676	4	3	10	5	11	22	
0.1875	2.3561945	0.11311732	4	3	10	3	3	6	
0.1875	2.552544	0.070866163	4	3	10	5	13	23	
0.1875	2.7488936	0.034333089	4	3	10	4	7	12	
0.1875	2.9452431	0.010035379	4	3	10	5	15	24	
0.1875	3.1415927	0.0013427734	4	3	10	1	1	2	
0.1875	3.3379422	0.010035379	4	3	10	5	17	25	
0.1875	3.5342917	0.034333089	4	3	10	4	9	13	
0.1875	3.7306413	0.070866163	4	3	10	5	19	26	
0.1875	3.9269908	0.11311732	4	3	10	3	5	7	
0.1875	4.1233404	0.15602676	4	3	10	5	21	27	
0.1875	4.3196899	0.19182916	4	3	10	4	11	14	
0.1875	4.5160394	0.21637478	4	3	10	5	23	28	
0.1875	4.712389	0.22457287	4	3	10	2	3	4	
0.1875	4.9087385	0.21637478	4	3	10	5	25	29	
0.1875	5.1050881	0.19182916	4	3	10	4	13	15	
0.1875	5.3014376	0.15602676	4	3	10	5	27	30	
0.1875	5.4977871	0.11311732	4	3	10	3	7	8	
0.1875	5.6941367	0.070866163	4	3	10	5	29	31	
0.1875	5.8904862	0.034333089	4	3	10	4	15	16	
0.1875	6.0868358	0.010035379	4	3	10	5	31	32	
0.1875	6.2831853	0.0013427734	4	3	10	0	1	1	

0.21875	0	0.002532959	5	7	20	0	0	0	
0.21875	0.19634954	0.0092332758	5	7	20	5	1	17	
0.21875	0.39269908	0.028296237	5	7	20	4	1	9	
0.21875	0.58904862	0.056770093	5	7	20	5	3	18	
0.21875	0.78539816	0.090060625	5	7	20	3	1	5	
0.21875	0.9817477	0.12355179	5	7	20	5	5	19	
0.21875	1.1780972	0.15151523	5	7	20	4	3	10	
0.21875	1.3744468	0.17053843	5	7	20	5	7	20	
0.21875	1.5707963	0.17652591	5	7	20	2	1	3	
0.21875	1.7671459	0.17053843	5	7	20	5	9	21	
0.21875	1.9634954	0.15151523	5	7	20	4	5	11	
0.21875	2.1598449	0.12355179	5	7	20	5	11	22	
0.21875	2.3561945	0.090060625	5	7	20	3	3	6	
0.21875	2.552544	0.056770093	5	7	20	5	13	23	
0.21875	2.7488936	0.028296237	5	7	20	4	7	12	
0.21875	2.9452431	0.0092332758	5	7	20	5	15	24	
0.21875	3.1415927	0.002532959	5	7	20	1	1	2	
0.21875	3.3379422	0.0092332758	5	7	20	5	17	25	
0.21875	3.5342917	0.028296237	5	7	20	4	9	13	
0.21875	3.7306413	0.056770093	5	7	20	5	19	26	
0.21875	3.9269908	0.090060625	5	7	20	3	5	7	
0.21875	4.1233404	0.12355179	5	7	20	5	21	27	
0.21875	4.3196899	0.15151523	5	7	20	4	11	14	
0.21875	4.5160394	0.17053843	5	7	20	5	23	28	
0.21875	4.712389	0.17652591	5	7	20	2	3	4	
0.21875	4.9087385	0.17053843	5	7	20	5	25	29	
0.21875	5.1050881	0.15151523	5	7	20	4	13	15	
0.21875	5.3014376	0.12355179	5	7	20	5	27	30	
0.21875	5.4977871	0.090060625	5	7	20	3	7	8	
0.21875	5.6941367	0.056770093	5	7	20	5	29	31	
0.21875	5.8904862	0.028296237	5	7	20	4	15	16	
0.21875	6.0868358	0.0092332758	5	7	20	5	31	32	
0.21875	6.2831853	0.002532959	5	7	20	0	1	1	

0.25	0	0.00390625	2	1	3	0	0	0	
0.25	0.19634954	0.0093779134	2	1	3	5	1	17	
0.25	0.39269908	0.02396976	2	1	3	4	1	9	
0.25	0.58904862	0.045921165	2	1	3	5	3	18	
0.25	0.78539816	0.071787838	2	1	3	3	1	5	
0.25	0.9817477	0.097632217	2	1	3	5	5	19	
0.25	1.1780972	0.11952819	2	1	3	4	3	10	
0.25	1.3744468	0.13433272	2	1	3	5	7	20	
0.25	1.5707963	0.13941335	2	1	3	2	1	3	
0.25	1.7671459	0.13433272	2	1	3	5	9	21	
0.25	1.9634954	0.11952819	2	1	3	4	5	11	
0.25	2.1598449	0.097632217	2	1	3	5	11	22	
0.25	2.3561945	0.071787838	2	1	3	3	3	6	
0.25	2.552544	0.045921165	2	1	3	5	13	23	
0.25	2.7488936	0.02396976	2	1	3	4	7	12	
0.25	2.9452431	0.0093779134	2	1	3	5	15	24	
0.25	3.1415927	0.00390625	2	1	3	1	1	2	
0.25	3.3379422	0.0093779134	2	1	3	5	17	25	
0.25	3.5342917	0.02396976	2	1	3	4	9	13	
0.25	3.7306413	0.045921165	2	1	3	5	19	26	
0.25	3.9269908	0.071787838	2	1	3	3	5	7	
0.25	4.1233404	0.097632217	2	1	3	5	21	27	
0.25	4.3196899	0.11952819	2	1	3	4	11	14	
0.25	4.5160394	0.13433272	2	1	3	5	23	28	
0.25	4.712389	0.13941335	2	1	3	2	3	4	
0.25	4.9087385	0.13433272	2	1	3	5	25	29	
0.25	5.1050881	0.11952819	2	1	3	4	13	15	
0.25	5.3014376	0.097632217	2	1	3	5	27	30	
0.25	5.4977871	0.071787838	2	1	3	3	7	8	
0.25	5.6941367	0.045921165	2	1	3	5	29	31	
0.25	5.8904862	0.02396976	2	1	3	4	15	16	
0.25	6.0868358	0.0093779134	2	1	3	5	31	32	
0.25	6.2831853	0.00390625	2	1	3	0	1	1	

0.28125	0	0.0065002441	5	9	21	0	0	0	
0.28125	0.19634954	0.01060981	5	9	21	5	1	17	
0.28125	0.39269908	0.022106554	5	9	21	4	1	9	
0.28125	0.58904862	0.039293595	5	9	21	5	3	18	
0.28125	0.78539816	0.059667404	5	9	21	3	1	5	
0.28125	0.9817477	0.080168146	5	9	21	5	5	19	
0.28125	1.1780972	0.097308013	5	9	21	4	3	10	
0.28125	1.3744468	0.10882344	5	9	21	5	7	20	
0.28125	1.5707963	0.11213155	5	9	21	2	1	3	
0.28125	1.7671459	0.10882344	5	9	21	5	9	21	
0.28125	1.9634954	0.097308013	5	9	21	4	5	11	
0.28125	2.1598449	0.080168146	5	9	21	5	11	22	
0.28125	2.3561945	0.059667404	5	9	21	3	3	6	
0.28125	2.552544	0.039293595	5	9	21	5	13	23	
0.28125	2.7488936	0.022106554	5	9	21	4	7	12	
0.28125	2.9452431	0.01060981	5	9	21	5	15	24	
0.28125	3.1415927	0.0065002441	5	9	21	1	1	2	
0.28125	3.3379422	0.01060981	5	9	21	5	17	25	
0.28125	3.5342917	0.022106554	5	9	21	4	9	13	
0.28125	3.7306413	0.039293595	5	9	21	5	19	26	
0.28125	3.9269908	0.059667404	5	9	21	3	5	7	
0.28125	4.1233404	0.080168146	5	9	21	5	21	27	
0.28125	4.3196899	0.097308013	5	9	21	4	11	14	
0.28125	4.5160394	0.10882344	5	9	21	5	23	28	
0.28125	4.712389	0.11213155	5	9	21	2	3	4	
0.28125	4.9087385	0.10882344	5	9	21	5	25	29	
0.28125	5.1050881	0.097308013	5	9	21	4	13	15	
0.28125	5.3014376	0.080168146	5	9	21	5	27	30	
0.28125	5.4977871	0.059667404	5	9	21	3	7	8	
0.28125	5.6941367	0.039293595	5	9	21	5	29	31	
0.28125	5.8904862	0.022106554	5	9	21	4	15	16	
0.28125	6.0868358	0.01060981	5	9	21	5	31	32	
0.28125	6.2831853	0.0065002441	5	9	21	0	1	1	

0.3125	0	0.0096435547	4	5	11	0	0	0	
0.3125	0.19634954	0.013023079	4	5	11	5	1	17	
0.3125	0.39269908	0.022056775	4	5	11	4	1	9	
0.3125	0.58904862	0.035264208	4	5	11	5	3	18	
0.3125	0.78539816	0.050929908	4	5	11	3	1	5	
0.3125	0.9817477	0.066995128	4	5	11	5	5	19	
0.3125	1.1780972	0.080287008	4	5	11	4	3	10	
0.3125	1.3744468	0.089421438	4	5	11	5	7	20	
0.3125	1.5707963	0.091865153	4	5	11	2	1	3	
0.3125	1.7671459	0.089421438	4	5	11	5	9	21	
0.3125	1.9634954	0.080287008	4	5	11	4	5	11	
0.3125	2.1598449	0.066995128	4	5	11	5	11	22	
0.3125	2.3561945	0.050929908	4	5	11	3	3	6	
0.3125	2.552544	0.035264208	4	5	11	5	13	23	
0.3125	2.7488936	0.022056775	4	5	11	4	7	12	
0.3125	2.9452431	0.013023079	4	5	11	5	15	24	
0.3125	3.1415927	0.0096435547	4	5	11	1	1	2	
0.3125	3.3379422	0.013023079	4	5	11	5	17	25	
0.3125	3.5342917	0.022056775	4	5	11	4	9	13	
